Source Name	Comment[update information]	Comment[ENA_SAMPLE]	Material Type	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[cell line]	Characteristics[cell type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[ORIENTATION]	Comment[NOMINAL_LENGTH]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[growth condition]
2i_1	  	ERS471009	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_1	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_1_	sequencing assay	ERX488185	Teichmann_2i_2_1_1.fastq.gz	Teichmann_2i_2_1_1.fastq.gz	ERR523111	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523111/ERR523111_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_1	  	ERS471009	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_1	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_1_	sequencing assay	ERX488185	Teichmann_2i_2_1_2.fastq.gz	Teichmann_2i_2_1_2.fastq.gz	ERR523111	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523111/ERR523111_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_10	  	ERS471051	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_10	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_10_	sequencing assay	ERX488227	Teichmann_2i_2_10_1.fastq.gz	Teichmann_2i_2_10_1.fastq.gz	ERR522883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522883/ERR522883_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_10	  	ERS471051	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_10	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_10_	sequencing assay	ERX488227	Teichmann_2i_2_10_2.fastq.gz	Teichmann_2i_2_10_2.fastq.gz	ERR522883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522883/ERR522883_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_11	  	ERS471149	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_11	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_11_	sequencing assay	ERX488325	Teichmann_2i_2_11_1.fastq.gz	Teichmann_2i_2_11_1.fastq.gz	ERR522830	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522830/ERR522830_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_11	  	ERS471149	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_11	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_11_	sequencing assay	ERX488325	Teichmann_2i_2_11_2.fastq.gz	Teichmann_2i_2_11_2.fastq.gz	ERR522830	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR522/ERR522830/ERR522830_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_12	  	ERS470927	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_12	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_12_	sequencing assay	ERX488103	Teichmann_2i_2_12_1.fastq.gz	Teichmann_2i_2_12_1.fastq.gz	ERR523005	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523005/ERR523005_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_12	  	ERS470927	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_12	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_12_	sequencing assay	ERX488103	Teichmann_2i_2_12_2.fastq.gz	Teichmann_2i_2_12_2.fastq.gz	ERR523005	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523005/ERR523005_2.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_13	  	ERS471227	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_13	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_13_	sequencing assay	ERX488403	Teichmann_2i_2_13_1.fastq.gz	Teichmann_2i_2_13_1.fastq.gz	ERR523046	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523046/ERR523046_1.fastq.gz	200	101	100	101	standard 2i media + LIF
2i_13	  	ERS471227	single cell	Mus musculus	fresh specimen	G4	embryonic stem cell	P-MTAB-39477	P-MTAB-39478	P-MTAB-39479	2i_13	polyA RNA	PAIRED	TRANSCRIPTOMIC	RNA-Seq	cDNA	'5''-3''-3''-5'''	200	P-MTAB-39480	SANGER	Teichmann_2i_2_13_	sequencing assay	ERX488403	Teichmann_2i_2_13_2.fastq.gz	Teichmann_2i_2_13_2.fastq.gz	ERR523046	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR523/ERR523046/ERR523046_2.fastq.gz	200	101	100	101	standard 2i media + LIF
